iter	Passed	Remaining
0	20	20006
1	39	19617
2	58	19575
3	78	19526
4	99	19741
5	118	19653
6	138	19653
7	158	19625
8	177	19562
9	197	19558
10	219	19769
11	241	19879
12	261	19831
13	280	19777
14	300	19712
15	320	19701
16	340	19664
17	360	19691
18	382	19761
19	402	19704
20	423	19748
21	442	19691
22	462	19629
23	484	19689
24	507	19781
25	526	19706
26	544	19624
27	565	19617
28	584	19577
29	604	19559
30	624	19512
31	643	19454
32	661	19383
33	682	19377
34	701	19332
35	733	19639
36	756	19697
37	778	19696
38	798	19680
39	817	19618
40	837	19592
41	857	19548
42	876	19508
43	897	19506
44	917	19464
45	936	19432
46	971	19707
47	990	19652
48	1010	19604
49	1029	19562
50	1049	19521
51	1068	19477
52	1089	19462
53	1114	19530
54	1136	19524
55	1156	19487
56	1175	19440
57	1194	19406
58	1215	19391
59	1263	19787
60	1282	19738
61	1303	19728
62	1323	19679
63	1342	19635
64	1362	19599
65	1384	19588
66	1406	19590
67	1426	19546
68	1445	19500
69	1464	19454
70	1484	19419
71	1504	19386
72	1523	19340
73	1542	19301
74	1562	19266
75	1581	19226
76	1601	19193
77	1621	19163
78	1640	19122
79	1659	19089
80	1680	19066
81	1702	19056
82	1721	19018
83	1740	18976
84	1742	18762
85	1762	18728
86	1781	18694
87	1802	18676
88	1821	18641
89	1840	18610
90	1861	18590
91	1879	18553
92	1900	18538
93	1920	18507
94	1939	18475
95	1970	18552
96	1993	18553
97	2014	18545
98	2035	18522
99	2054	18488
100	2073	18456
101	2093	18433
102	2112	18401
103	2132	18373
104	2151	18342
105	2170	18309
106	2190	18284
107	2210	18255
108	2230	18230
109	2250	18211
110	2270	18182
111	2289	18155
112	2308	18123
113	2328	18097
114	2349	18082
115	2368	18053
116	2390	18039
117	2414	18050
118	2436	18036
119	2455	18008
120	2476	17987
121	2496	17964
122	2515	17935
123	2534	17906
124	2553	17875
125	2574	17858
126	2595	17839
127	2614	17813
128	2634	17784
129	2653	17757
130	2673	17731
131	2692	17703
132	2711	17673
133	2731	17653
134	2750	17626
135	2769	17595
136	2790	17576
137	2809	17550
138	2830	17533
139	2850	17507
140	2868	17477
141	2888	17455
142	2907	17424
143	2926	17397
144	2946	17371
145	2965	17346
146	2999	17407
147	3019	17384
148	3039	17359
149	3058	17329
150	3077	17304
151	3097	17281
152	3116	17255
153	3136	17231
154	3156	17208
155	3175	17181
156	3196	17164
157	3217	17144
158	3236	17117
159	3256	17095
160	3275	17071
161	3296	17051
162	3315	17026
163	3335	17002
164	3355	16980
165	3374	16955
166	3396	16941
167	3418	16930
168	3439	16913
169	3458	16886
170	3478	16861
171	3497	16838
172	3517	16813
173	3536	16787
174	3555	16761
175	3575	16737
176	3595	16718
177	3614	16693
178	3634	16670
179	3654	16647
180	3673	16622
181	3693	16602
182	3713	16576
183	3732	16550
184	3752	16530
185	3770	16502
186	3789	16476
187	3809	16454
188	3828	16428
189	3848	16407
190	3868	16385
191	3888	16362
192	3908	16344
193	3928	16321
194	3949	16304
195	3968	16280
196	4001	16309
197	4024	16301
198	4043	16276
199	4062	16251
200	4082	16229
201	4101	16203
202	4120	16177
203	4139	16153
204	4159	16128
205	4177	16103
206	4197	16082
207	4218	16062
208	4237	16038
209	4257	16017
210	4277	15995
211	4297	15972
212	4317	15951
213	4337	15929
214	4356	15905
215	4375	15882
216	4395	15858
217	4414	15834
218	4436	15822
219	4457	15804
220	4478	15784
221	4497	15760
222	4516	15738
223	4535	15713
224	4554	15689
225	4574	15667
226	4594	15644
227	4613	15622
228	4632	15598
229	4652	15574
230	4671	15552
231	4691	15530
232	4710	15506
233	4730	15485
234	4750	15463
235	4769	15441
236	4788	15417
237	4808	15396
238	4829	15378
239	4848	15354
240	4868	15333
241	4888	15312
242	4908	15291
243	4929	15272
244	4948	15250
245	4967	15226
246	4988	15207
247	5020	15222
248	5044	15215
249	5064	15192
250	5083	15168
251	5102	15145
252	5122	15124
253	5142	15103
254	5163	15084
255	5182	15060
256	5201	15038
257	5221	15016
258	5241	14995
259	5262	14977
260	5282	14956
261	5302	14935
262	5321	14912
263	5340	14889
264	5361	14871
265	5381	14849
266	5401	14828
267	5421	14808
268	5443	14791
269	5465	14776
270	5485	14754
271	5504	14732
272	5523	14709
273	5544	14690
274	5565	14672
275	5585	14650
276	5604	14629
277	5624	14608
278	5645	14588
279	5664	14566
280	5685	14547
281	5705	14525
282	5725	14505
283	5744	14482
284	5764	14460
285	5784	14441
286	5804	14419
287	5824	14398
288	5845	14380
289	5863	14355
290	5882	14332
291	5903	14313
292	5923	14293
293	5943	14272
294	5963	14250
295	5983	14230
296	6003	14209
297	6036	14220
298	6060	14207
299	6079	14185
300	6100	14167
301	6119	14143
302	6139	14123
303	6159	14102
304	6178	14079
305	6199	14059
306	6218	14036
307	6238	14015
308	6257	13992
309	6276	13970
310	6295	13947
311	6315	13925
312	6334	13902
313	6353	13880
314	6371	13856
315	6391	13835
316	6411	13813
317	6432	13794
318	6451	13771
319	6455	13718
320	6485	13718
321	6504	13696
322	6525	13677
323	6545	13656
324	6565	13636
325	6584	13613
326	6603	13590
327	6622	13568
328	6643	13549
329	6663	13528
330	6683	13507
331	6702	13485
332	6721	13463
333	6741	13441
334	6761	13422
335	6781	13401
336	6800	13379
337	6819	13356
338	6839	13335
339	6859	13315
340	6879	13295
341	6899	13274
342	6918	13251
343	6939	13233
344	6959	13213
