iter	RMSE
0	38.57599446
1	38.47040776
2	38.36947905
3	38.26553767
4	38.16346648
5	38.06231791
6	37.95497531
7	37.85675671
8	37.75632068
9	37.66266768
10	37.56164322
11	37.45792111
12	37.35860559
13	37.26268181
14	37.16698638
15	37.06445248
16	36.96875264
17	36.8725484
18	36.77622511
19	36.68120837
20	36.5855471
21	36.48675347
22	36.39358676
23	36.30539144
24	36.21377349
25	36.11888034
26	36.02383015
27	35.93633337
28	35.84302383
29	35.75372582
30	35.66243658
31	35.5783318
32	35.48812792
33	35.40196545
34	35.3158463
35	35.22387822
36	35.13604605
37	35.05750039
38	34.96869801
39	34.88286921
40	34.79518152
41	34.7133035
42	34.63300519
43	34.54541002
44	34.45855063
45	34.37269565
46	34.2891453
47	34.20757365
48	34.12994456
49	34.04828638
50	33.96859781
51	33.89067309
52	33.80806854
53	33.72962416
54	33.65374338
55	33.5739611
56	33.50174184
57	33.42714314
58	33.34759559
59	33.2722686
60	33.19933589
61	33.12018058
62	33.04740413
63	32.97001819
64	32.8971792
65	32.82715948
66	32.75119896
67	32.67647674
68	32.60121495
69	32.52729038
70	32.45115294
71	32.37571875
72	32.30382499
73	32.23556211
74	32.16744047
75	32.09832973
76	32.03384939
77	31.96809235
78	31.9004349
79	31.83027077
80	31.7651942
81	31.69622057
82	31.62960031
83	31.56191085
84	31.49696891
85	31.43245633
86	31.36512589
87	31.29686468
88	31.23652565
89	31.17220591
90	31.11535132
91	31.04801807
92	30.98093981
93	30.91972061
94	30.85978773
95	30.79498346
96	30.73428699
97	30.67231252
98	30.61056523
99	30.5521667
100	30.49087135
101	30.42771068
102	30.36495488
103	30.30832202
104	30.2492611
105	30.18724828
106	30.12921116
107	30.06727732
108	30.01113064
109	29.95515088
110	29.8950373
111	29.8390203
112	29.78375831
113	29.72689696
114	29.67039292
115	29.6163016
116	29.55851145
117	29.5034399
118	29.44596663
119	29.39417576
120	29.33877478
121	29.28662435
122	29.23198204
123	29.17676399
124	29.12390429
125	29.0706475
126	29.01978252
127	28.96802317
128	28.9174932
129	28.86703682
130	28.81437589
131	28.76139597
132	28.70935979
133	28.66018159
134	28.60851924
135	28.55934648
136	28.51061563
137	28.46350283
138	28.41307521
139	28.36248356
140	28.31272623
141	28.26546936
142	28.21771308
143	28.1711642
144	28.12283696
145	28.07504674
146	28.02860286
147	27.98200387
148	27.93524373
149	27.88701581
150	27.84140734
151	27.79308076
152	27.74688113
153	27.69943256
154	27.6538673
155	27.60730651
156	27.56199568
157	27.51842306
158	27.47742372
159	27.43812241
160	27.39372292
161	27.35196407
162	27.30816365
163	27.26251038
164	27.21674027
165	27.17471725
166	27.13177516
167	27.08938132
168	27.04787972
169	27.00587414
170	26.96408807
171	26.91993447
172	26.87682917
173	26.83712472
174	26.79424274
175	26.75824003
176	26.72045192
177	26.68194968
178	26.64426818
179	26.60560861
180	26.56443016
181	26.52218474
182	26.48538877
183	26.44630156
184	26.40802871
185	26.36954824
186	26.33102573
187	26.29433125
188	26.25914911
189	26.22263439
190	26.18327069
191	26.14823826
192	26.10985949
193	26.07324247
194	26.03859813
195	26.00285819
196	25.96940233
197	25.93439433
198	25.89699068
199	25.86365088
200	25.82696601
201	25.79132287
202	25.75632956
203	25.71939658
204	25.68480386
205	25.6502672
206	25.61777253
207	25.58178373
208	25.54733773
209	25.51288083
210	25.47995145
211	25.4492896
212	25.4142756
213	25.37918745
214	25.34464928
215	25.31032796
216	25.27727449
217	25.24403366
218	25.21235476
219	25.17868741
220	25.14540755
221	25.11464128
222	25.08286489
223	25.0489779
224	25.01697059
225	24.98833011
226	24.95806557
227	24.92733964
228	24.89498786
229	24.86254226
230	24.82979833
231	24.79881594
232	24.76915399
233	24.73863959
234	24.70634271
235	24.67730254
236	24.64897699
237	24.619509
238	24.59176061
239	24.56533327
240	24.53646458
241	24.5070096
242	24.47803822
243	24.4445054
244	24.41547269
245	24.38505239
246	24.35520512
247	24.32738361
248	24.30178781
249	24.27339581
250	24.24604753
251	24.21685625
252	24.18750975
253	24.16083817
254	24.1355982
255	24.10679071
256	24.07908348
257	24.05304334
258	24.02592142
259	23.99932434
260	23.97359303
261	23.94674126
262	23.92004722
263	23.89349171
264	23.86535094
265	23.83760235
266	23.81344226
267	23.78536249
268	23.76017717
269	23.73715709
270	23.71261279
271	23.68855084
272	23.66387098
273	23.63985385
274	23.61530869
275	23.59095872
276	23.56530697
277	23.54074929
278	23.51382082
279	23.48854981
280	23.46506278
281	23.43869361
282	23.41417186
283	23.38751892
284	23.36040649
285	23.33621664
286	23.31373189
287	23.29070239
288	23.26931694
289	23.24501265
290	23.21924426
291	23.19466842
292	23.17000394
293	23.14915559
294	23.12739204
295	23.10249621
296	23.07963181
297	23.05706124
298	23.03286604
299	23.01044717
300	22.9864711
301	22.9637036
302	22.94018353
303	22.91920543
304	22.89248569
305	22.87193769
306	22.8495642
307	22.82673942
308	22.80714301
309	22.78666016
